GENESIS-Tabelle: 173-21-4
Bevölkerungsstand: Bevölkerung nach Geschlecht;;;;;
und Altersgruppen (17) - Stichtag 31.12. -;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
2014-12-31;;;;;
;;;Total;männlich;weiblich
05158;      Mettmann, Kreis;65 bis unter 75 Jahre;55842;25422;30420
05158;      Mettmann, Kreis;75 Jahre und mehr;57206;23468;33738
05158;      Mettmann, Kreis;Total;477760;229798;247962
05162;      Rhein-Kreis Neuss;unter 3 Jahre;11616;5977;5639
05162;      Rhein-Kreis Neuss;3 bis unter 6 Jahre;11677;5967;5710
05162;      Rhein-Kreis Neuss;6 bis unter 10 Jahre;16229;8283;7946
05162;      Rhein-Kreis Neuss;10 bis unter 15 Jahre;21660;11258;10402
05162;      Rhein-Kreis Neuss;15 bis unter 18 Jahre;14182;7239;6943
05162;      Rhein-Kreis Neuss;18 bis unter 20 Jahre;9112;4688;4424
05162;      Rhein-Kreis Neuss;20 bis unter 25 Jahre;21671;11221;10450
05162;      Rhein-Kreis Neuss;25 bis unter 30 Jahre;22631;11366;11265
05162;      Rhein-Kreis Neuss;30 bis unter 35 Jahre;24727;11993;12734
05162;      Rhein-Kreis Neuss;35 bis unter 40 Jahre;25840;12386;13454
05162;      Rhein-Kreis Neuss;40 bis unter 45 Jahre;29312;14340;14972
05162;      Rhein-Kreis Neuss;45 bis unter 50 Jahre;39792;19680;20112
05162;      Rhein-Kreis Neuss;50 bis unter 55 Jahre;38529;19127;19402
05162;      Rhein-Kreis Neuss;55 bis unter 60 Jahre;32909;16256;16653
05162;      Rhein-Kreis Neuss;60 bis unter 65 Jahre;27704;13171;14533
05162;      Rhein-Kreis Neuss;65 bis unter 75 Jahre;47354;22006;25348
05162;      Rhein-Kreis Neuss;75 Jahre und mehr;47577;19441;28136
05162;      Rhein-Kreis Neuss;Total;442522;214399;228123
05166;      Viersen, Kreis;unter 3 Jahre;6705;3393;3312
05166;      Viersen, Kreis;3 bis unter 6 Jahre;7017;3550;3467
05166;      Viersen, Kreis;6 bis unter 10 Jahre;10122;5131;4991
05166;      Viersen, Kreis;10 bis unter 15 Jahre;14551;7292;7259
05166;      Viersen, Kreis;15 bis unter 18 Jahre;10098;5199;4899
05166;      Viersen, Kreis;18 bis unter 20 Jahre;6786;3490;3296
05166;      Viersen, Kreis;20 bis unter 25 Jahre;15686;8230;7456
05166;      Viersen, Kreis;25 bis unter 30 Jahre;14611;7566;7045
05166;      Viersen, Kreis;30 bis unter 35 Jahre;15257;7545;7712
05166;      Viersen, Kreis;35 bis unter 40 Jahre;15398;7411;7987
05166;      Viersen, Kreis;40 bis unter 45 Jahre;18771;9115;9656
